close,閉じる
Product,商品
"-- Please Select --","-- 選択してください --"
"Sort Order",並び順
None,なし
label,label
"Save and Continue Edit",保存して編集を続ける
"Frontend Properties",フロントエンドプロパティ
Type,タイプ
Categories,カテゴリ
Products,商品
All,全て
Apply,反映
Conditions,条件
name,name
Continue,続ける
CMS,CMS
"Design Theme","デザインテーマ"
Settings,設定
%1,%1
Template,テンプレート
"Open Chooser",選択を開く
"Orders and Returns",注文と返品
Page,ページ
"Widget Insertion",ウィジェット挿入
"Insert Widget",ウィジェット挿入
Choose...,選択してください...
"Not Selected",選択されていません
Widget,ウィジェット
"Widget Type",ウィジェットタイプ
"Manage Widget Instances",ウィジェットインスタンス管理
"Add New Widget Instance",新しいウィジェットインスタンスを追加する
"Widget ""%1""","Widget ""%1"""
"New Widget Instance",新しいウィジェットインスタンス
"Custom Layouts","カスタムレイアウト"
"Page Layouts","ページレイアウト"
"Please Select Container First","コンテナを最初に選択してください"
"Design Package/Theme",デザインパッケージ/テーマ
"Widget Instance Title",ウィジェットインスタンスタイトル
"Assign to Store Views",ストアビューにアサインする
"Sort Order of widget instances in the same container","同じコンテナ内のウィジェットのインスタンスの順を並べ替える"
"Layout Updates",レイアウト更新
"Anchor Categories",カテゴリのアンカー
"Non-Anchor Categories",アンカーではないカテゴリ
"All Product Types",全ての商品種別
"Generic Pages",一般ページ
"All Pages",全てのページ
"Specified Page",特定のページ
"Add Layout Update",レイアウト更新追加
"Remove Layout Update",レイアウト更新削除
"Widget Options",ウィジェットオプション
"Widget Instance",ウィジェットインスタンス
"Please specify a Widget Type.","ウィジェットタイプを指定してください"
"Please specify a correct widget.","正しいウィジェットを指定してください"
"The widget instance has been deleted.",ウィジェットを削除しました。
"New Frontend App Instance","新しいフロントエンドアプリインスタンス"
"Frontend Apps","フロントエンドアプリ"
"The widget instance has been saved.",ウィジェットを保存しました。
description,詳細
"We cannot create the widget instance because it is missing required information.","必須情報が不明なのでウィジェットインスタンスを作成できません。"
Container,梱包
"Specific %1","詳細 %1"
"Anchor Custom Title",アンカーカスタムタイトル
"CMS Page Link Block Template",CMSページリンクブロックテンプレート
"CMS Page Link Inline Template",CMSページインラインリンクテンプレート
"Orders and Returns Search Form",注文と返品検索フォーム
"Display a Link to Loading a Spreadsheet","リンクを読込中のスプレッドシートに表示"
"Defines whether a link to My Account","マイアカウントへのリンクを定義するかどうか"
"Link Text","リンクテキスト"
"The text of the link to the My Account &gt; Order by SKU page","マイアカウントへのリンクのテキスト&gt;SKUページの順"
"Load a list of SKUs","SKUのリストを読み込む"
"Widget ID",ウィジェットID
Quantity,数量
Back,戻る
Delete,削除
Enabled,有効
"We can't add this item to your cart right now.","現在この商品をカートに追加することはできません"
